Date,BHP,CBA,CSL,NAB,WBC,ANZ,MQG,WES,GMG,FMG
2022-07-01,33.62,81.91,260.65,24.64,17.21,19.16,151.74,38.63,17.75,13.25
2022-07-04,33.49,82.59,266.04,24.85,17.43,19.40,154.43,39.60,18.25,13.31
2022-07-05,33.57,82.39,270.05,24.77,17.43,19.33,155.85,39.82,18.08,13.50
2022-07-06,31.69,83.09,277.01,25.22,17.59,19.51,156.75,40.47,18.77,12.85
2022-07-07,32.68,84.06,277.85,25.22,17.72,19.86,157.67,41.04,18.69,13.41
2022-07-08,32.92,83.62,278.19,25.18,17.67,19.77,157.70,41.02,18.48,13.49
2022-07-11,31.90,83.58,278.81,24.87,17.67,19.67,155.08,40.73,18.17,13.13
2022-07-12,31.44,84.56,283.36,25.20,17.81,19.77,154.91,41.04,18.11,13.17
2022-07-13,30.99,85.46,284.44,25.48,17.86,19.53,158.36,41.53,18.53,13.24
2022-07-14,31.39,84.19,286.76,25.35,17.67,19.10,157.99,41.71,18.35,13.57
2022-07-15,30.30,84.23,289.71,25.48,17.63,18.85,155.21,42.10,18.46,12.73
2022-07-18,31.03,85.11,287.20,25.98,17.85,18.85,160.14,42.30,18.59,13.17
2022-07-19,30.73,85.75,281.39,26.35,17.98,18.85,154.88,42.26,18.11,13.26
2022-07-20,31.15,86.72,281.95,26.56,18.19,18.85,160.92,42.89,18.67,13.95
2022-07-21,30.88,88.16,285.83,26.57,18.46,19.25,161.59,43.62,18.65,13.80
2022-07-22,30.85,88.32,284.12,26.76,18.67,19.83,160.98,43.56,18.73,13.90
2022-07-25,31.35,87.67,281.72,26.76,18.65,19.86,160.95,43.00,18.85,14.23
2022-07-26,32.12,87.36,277.61,26.62,18.72,19.87,162.27,42.11,18.84,14.58
2022-07-27,31.49,89.32,282.53,26.99,18.97,19.95,160.51,42.49,18.93,14.17
2022-07-28,32.16,90.21,282.11,27.17,18.99,19.93,165.28,42.44,19.27,14.58
2022-07-29,32.47,91.01,280.60,27.41,19.06,20.10,167.35,42.74,20.16,14.30
2022-08-01,32.82,91.29,285.51,27.39,19.19,19.96,166.21,42.85,20.11,14.19
